variable,n_missing,pct_missing
Trust and share feelings,1,0.12
sr,0,0
Age,0,0
Residence,0,0
Education Level,0,0
Marital status,0,0
Occupation before latest pregnancy,0,0
Monthly income before latest pregnancy,0,0
Occupation After Your Latest Childbirth,0,0
Current monthly income,0,0
Husband's education level,0,0
Husband’s monthly income,0,0
Addiction,0,0
Total children,0,0
Disease before pregnancy,0,0
History of pregnancy loss,0,0
Family type,0,0
Number of household members,0,0
Relationship with the in-laws,0,0
Relationship with husband,0,0
Relationship with the newborn,0,0
Relationship between father and newborn,0,0
Feeling about motherhood,0,0
Recieved Support,0,0
Need for Support,0,0
Major changes or losses during pregnancy,0,0
Abuse,0,0
Number of the latest pregnancy,0,0
Pregnancy length,0,0
Pregnancy plan,0,0
Regular checkups,0,0
Fear of pregnancy,0,0
Diseases during pregnancy,0,0
Age of newborn,0,0
Age of immediate older children,0,0
Mode of delivery,0,0
Gender of newborn,0,0
Birth compliancy,0,0
Breastfeed,0,0
Newborn illness,0,0
Worry about newborn,0,0
Relax/sleep when newborn is tended,0,0
Relax/sleep when the newborn is asleep,0,0
Angry after latest child birth,0,0
Feeling for regular activities,0,0
Depression before pregnancy (PHQ2),0,0
Depression during pregnancy (PHQ2),0,0
PHQ9 Score,0,0
PHQ9 Result,0,0
EPDS Score,0,0
EPDS Result,0,0
epds_score,0,0
ppd_epds13,0,0
