grouping,subgroup,n,n_events,prevalence,auc,brier,intercept,slope,sensitivity
Wealth group (current monthly income),Lower,799,349,0.43679599499374216,0.9982171283030882,0.001641064638475793,-0.22889616807225338,1.4801417599685416,1
Place of residence,City,636,284,0.44654088050314467,0.9977492797695262,0.0019373491006006015,-0.3567269146099708,1.415852637142077,1
Place of residence,Village,163,65,0.3987730061349693,1,4.8500992736304996e-4,5.61950970457578,7.920596145215992,1
Maternal education level,College,99,39,0.3939393939393939,1,4.2955198685774225e-4,5.352006257805666,8.05076433445465,1
Maternal education level,High School,62,13,0.20967741935483872,1,3.3158809939299086e-4,5.586486143875933,8.00986341616936,1
Maternal education level,University,587,286,0.48722316865417375,0.997386334595637,0.002104864135270732,-0.30381228090896445,1.4051706926525858,1
Intimate partner violence (IPV),No,359,230,0.6406685236768802,0.9941691944725312,0.003148255918602452,-0.2453181629919192,1.277942677756653,1
Intimate partner violence (IPV),None,38,3,0.07894736842105263,1,7.987601277708057e-5,-2.4110484827634315,5.513669608604613,1
Intimate partner violence (IPV),Yes,402,116,0.2885572139303483,1,4.4266538029440265e-4,5.889557037739886,11.001983530926886,1
