variable,pct_missing,n_missing
sr,0,0
age,0,0
residence,0,0
education_level,0,0
marital_status,0,0
occupation_before_latest_pregnancy,0,0
monthly_income_before_latest_pregnancy,0,0
occupation_after_your_latest_childbirth,0,0
current_monthly_income,0,0
husbands_education_level,0,0
husband_s_monthly_income,0,0
addiction,0,0
total_children,0,0
disease_before_pregnancy,0,0
history_of_pregnancy_loss,0,0
family_type,0,0
number_of_household_members,0,0
relationship_with_the_in_laws,0,0
relationship_with_husband,0,0
relationship_with_the_newborn,0,0
relationship_between_father_and_newborn,0,0
feeling_about_motherhood,0,0
recieved_support,0,0
need_for_support,0,0
major_changes_or_losses_during_pregnancy,0,0
abuse,0,0
trust_and_share_feelings,0,0
number_of_the_latest_pregnancy,0,0
pregnancy_length,0,0
pregnancy_plan,0,0
regular_checkups,0,0
fear_of_pregnancy,0,0
diseases_during_pregnancy,0,0
age_of_newborn,0,0
age_of_immediate_older_children,0,0
mode_of_delivery,0,0
gender_of_newborn,0,0
birth_compliancy,0,0
breastfeed,0,0
newborn_illness,0,0
worry_about_newborn,0,0
relax_sleep_when_newborn_is_tended,0,0
relax_sleep_when_the_newborn_is_asleep,0,0
angry_after_latest_child_birth,0,0
feeling_for_regular_activities,0,0
depression_before_pregnancy_phq2,0,0
depression_during_pregnancy_phq2,0,0
phq9_score,0,0
phq9_result,0,0
epds_score,0,0
epds_result,0,0
epds_high_13,0,0
epds_high_12,0,0
epds_high_11,0,0
phq2_before_pos,0,0
phq2_during_pos,0,0
phq2_traj,0,0
