group_var,group,n,prev,auc_A,auc_D
residence,City,637,0.44583987441130296,0.6012099509236724,0.8159488090013167
residence,Village,163,0.3987730061349693,0.6069858712715857,0.8157770800627944
education_level,College,99,0.3939393939393939,0.6512820512820513,0.7935897435897435
education_level,High school,9,0.1111111111111111,1,0.75
education_level,High School,62,0.20967741935483872,0.6075353218210361,0.7990580847723705
education_level,None,6,0.3333333333333333,0.375,0.75
education_level,Primary school,11,0.18181818181818182,0.4444444444444444,0.9166666666666666
education_level,Primary School,25,0.24,0.618421052631579,0.8421052631578947
education_level,University,588,0.48639455782312924,0.5978210531190664,0.806522947251424
family_type,Joint,379,0.5013192612137203,0.6553049289891395,0.8190754664438875
family_type,Nuclear,421,0.37767220902612825,0.5410845455854818,0.8085481780210284
age_of_newborn,0 to 6 months,344,0.38953488372093026,0.6075870646766169,0.8261194029850746
age_of_newborn,1 year to 1.5 year,155,0.4967741935483871,0.6013153513153513,0.8070263070263071
age_of_newborn,6 months to 1 year,153,0.4444444444444444,0.5904844290657439,0.7589965397923876
age_of_newborn,Older than 1.5 year,148,0.47297297297297297,0.6073260073260073,0.8472527472527472
